item_id,order_id,product_name,category,price,quantity
I-000001,O-00001,Mechanical Keyboard,Accessories,130,3
I-000002,O-00001,Webcam 1080p,Accessories,80,2
I-000003,O-00001,Noise Cancelling Headphones,Electronics,300,2
I-000004,O-00001,Webcam 1080p,Accessories,80,1
I-000005,O-00001,Laptop Pro,Electronics,1200,3
I-000006,O-00002,Webcam 1080p,Accessories,80,1
I-000007,O-00002,Office Chair,Furniture,250,2
I-000008,O-00002,Laptop Pro,Electronics,1200,2
I-000009,O-00002,Noise Cancelling Headphones,Electronics,300,3
I-000010,O-00002,Monitor Stand,Accessories,75,3
I-000011,O-00003,Laptop Pro,Electronics,1200,3
I-000012,O-00003,Mechanical Keyboard,Accessories,130,3
I-000013,O-00003,Standing Desk,Furniture,600,2
I-000014,O-00004,Laptop Pro,Electronics,1200,1
I-000015,O-00004,Webcam 1080p,Accessories,80,1
I-000016,O-00004,Wireless Mouse,Accessories,50,3
I-000017,O-00004,Mechanical Keyboard,Accessories,130,3
I-000018,O-00005,4K Monitor,Electronics,400,1
I-000019,O-00006,Noise Cancelling Headphones,Electronics,300,1
I-000020,O-00006,Monitor Stand,Accessories,75,1
I-000021,O-00007,Noise Cancelling Headphones,Electronics,300,1
I-000022,O-00007,Noise Cancelling Headphones,Electronics,300,3
I-000023,O-00007,Standing Desk,Furniture,600,3
I-000024,O-00007,Monitor Stand,Accessories,75,1
I-000025,O-00007,Noise Cancelling Headphones,Electronics,300,1
I-000026,O-00008,Standing Desk,Furniture,600,2
I-000027,O-00008,Laptop Pro,Electronics,1200,3
I-000028,O-00008,Laptop Pro,Electronics,1200,1
I-000029,O-00008,Wireless Mouse,Accessories,50,3
I-000030,O-00009,Webcam 1080p,Accessories,80,2
I-000031,O-00009,Monitor Stand,Accessories,75,3
I-000032,O-00010,Monitor Stand,Accessories,75,3
I-000033,O-00010,Laptop Pro,Electronics,1200,3
I-000034,O-00010,Standing Desk,Furniture,600,3
I-000035,O-00010,Mechanical Keyboard,Accessories,130,1
I-000036,O-00011,Laptop Pro,Electronics,1200,3
I-000037,O-00011,Noise Cancelling Headphones,Electronics,300,2
I-000038,O-00011,Monitor Stand,Accessories,75,3
I-000039,O-00011,Mechanical Keyboard,Accessories,130,1
I-000040,O-00011,Office Chair,Furniture,250,2
I-000041,O-00012,Monitor Stand,Accessories,75,1
I-000042,O-00012,Noise Cancelling Headphones,Electronics,300,1
I-000043,O-00012,Laptop Pro,Electronics,1200,3
I-000044,O-00012,Wireless Mouse,Accessories,50,2
I-000045,O-00013,Office Chair,Furniture,250,3
I-000046,O-00013,4K Monitor,Electronics,400,3
I-000047,O-00013,Office Chair,Furniture,250,2
I-000048,O-00013,Noise Cancelling Headphones,Electronics,300,1
I-000049,O-00013,Webcam 1080p,Accessories,80,3
I-000050,O-00014,Wireless Mouse,Accessories,50,1
I-000051,O-00014,Laptop Pro,Electronics,1200,2
I-000052,O-00014,4K Monitor,Electronics,400,1
I-000053,O-00014,Monitor Stand,Accessories,75,3
I-000054,O-00014,Mechanical Keyboard,Accessories,130,3
I-000055,O-00015,Wireless Mouse,Accessories,50,1
I-000056,O-00015,Webcam 1080p,Accessories,80,1
I-000057,O-00015,Noise Cancelling Headphones,Electronics,300,1
I-000058,O-00016,4K Monitor,Electronics,400,1
I-000059,O-00016,Office Chair,Furniture,250,1
I-000060,O-00017,Noise Cancelling Headphones,Electronics,300,3
I-000061,O-00017,Noise Cancelling Headphones,Electronics,300,1
I-000062,O-00017,Webcam 1080p,Accessories,80,2
I-000063,O-00017,Webcam 1080p,Accessories,80,3
I-000064,O-00017,Mechanical Keyboard,Accessories,130,1
I-000065,O-00018,Laptop Pro,Electronics,1200,2
I-000066,O-00018,Standing Desk,Furniture,600,2
I-000067,O-00018,Mechanical Keyboard,Accessories,130,1
I-000068,O-00019,Laptop Pro,Electronics,1200,1
I-000069,O-00019,4K Monitor,Electronics,400,2
I-000070,O-00020,Mechanical Keyboard,Accessories,130,3
I-000071,O-00020,4K Monitor,Electronics,400,3
I-000072,O-00020,Office Chair,Furniture,250,2
I-000073,O-00020,4K Monitor,Electronics,400,2
I-000074,O-00021,Wireless Mouse,Accessories,50,3
I-000075,O-00021,Office Chair,Furniture,250,2
I-000076,O-00021,Noise Cancelling Headphones,Electronics,300,2
I-000077,O-00021,Standing Desk,Furniture,600,2
I-000078,O-00022,Standing Desk,Furniture,600,2
I-000079,O-00022,Office Chair,Furniture,250,2
I-000080,O-00023,Monitor Stand,Accessories,75,3
I-000081,O-00023,Office Chair,Furniture,250,1
I-000082,O-00023,Mechanical Keyboard,Accessories,130,2
I-000083,O-00023,Wireless Mouse,Accessories,50,1
I-000084,O-00024,Wireless Mouse,Accessories,50,3
I-000085,O-00024,Standing Desk,Furniture,600,3
I-000086,O-00024,4K Monitor,Electronics,400,1
I-000087,O-00024,Standing Desk,Furniture,600,3
I-000088,O-00024,Webcam 1080p,Accessories,80,3
I-000089,O-00025,Standing Desk,Furniture,600,3
I-000090,O-00025,Wireless Mouse,Accessories,50,2
