order_id,customer_id,order_date,status
O-00001,C-0110,2026-02-16,Completed
O-00002,C-0136,2024-06-30,Completed
O-00003,C-0478,2025-11-09,Completed
O-00004,C-0452,2023-05-22,Completed
O-00005,C-0451,2024-03-17,Returned
O-00006,C-0190,2025-04-13,Completed
O-00007,C-0081,2026-03-16,Completed
O-00008,C-0427,2025-05-10,Completed
O-00009,C-0361,2025-11-21,Completed
O-00010,C-0314,2026-06-20,Completed
O-00011,C-0005,2025-04-29,Completed
O-00012,C-0154,2023-09-11,Completed
O-00013,C-0481,2024-01-18,Completed
O-00014,C-0136,2024-06-13,Completed
O-00015,C-0456,2025-09-19,Completed
O-00016,C-0381,2026-09-17,Completed
O-00017,C-0080,2024-04-20,Completed
O-00018,C-0145,2024-06-22,Completed
O-00019,C-0368,2024-06-30,Returned
O-00020,C-0105,2025-09-16,Completed
O-00021,C-0259,2026-09-17,Cancelled
O-00022,C-0129,2025-04-27,Completed
O-00023,C-0048,2024-10-16,Returned
O-00024,C-0425,2024-03-18,Completed
O-00025,C-0023,2024-06-05,Completed
O-00026,C-0171,2024-10-17,Completed
O-00027,C-0327,2025-08-12,Completed
O-00028,C-0083,2024-05-14,Completed
O-00029,C-0283,2026-09-17,Completed
O-00030,C-0288,2025-01-27,Completed
O-00031,C-0058,2024-03-06,Completed
O-00032,C-0484,2023-10-15,Completed
O-00033,C-0280,2025-07-19,Completed
O-00034,C-0428,2024-08-24,Completed
O-00035,C-0299,2025-12-31,Completed
O-00036,C-0076,2026-09-09,Completed
O-00037,C-0066,2023-06-20,Processing
O-00038,C-0158,2026-02-10,Completed
O-00039,C-0461,2025-08-10,Completed
O-00040,C-0461,2026-07-02,Completed
O-00041,C-0108,2025-07-08,Completed
O-00042,C-0342,2024-06-06,Completed
O-00043,C-0182,2026-06-24,Completed
O-00044,C-0453,2025-10-23,Completed
O-00045,C-0499,2023-08-23,Completed
O-00046,C-0474,2024-07-20,Completed
O-00047,C-0443,2025-11-06,Completed
O-00048,C-0500,2025-01-02,Completed
O-00049,C-0452,2024-05-08,Completed
O-00050,C-0013,2026-01-02,Completed
O-00051,C-0378,2026-07-10,Completed
O-00052,C-0401,2024-10-02,Completed
O-00053,C-0411,2026-04-18,Completed
O-00054,C-0137,2024-03-14,Completed
O-00055,C-0404,2025-11-01,Completed
O-00056,C-0196,2023-02-21,Completed
O-00057,C-0440,2025-08-28,Completed
O-00058,C-0114,2025-08-09,Completed
O-00059,C-0419,2026-05-05,Completed
O-00060,C-0180,2024-04-21,Completed
O-00061,C-0421,2025-03-14,Completed
O-00062,C-0115,2023-10-03,Returned
O-00063,C-0338,2024-03-22,Completed
